rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.42	 yY:-20.18	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 69.64	rY: -31.39	rZ: 181.82	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.42	 yY:-20.86	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.63	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.42	 yY:-20.86	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -16.79	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.15	 yY:-21.65	 yZ: 179.03	bX: 16.79	bY: -16.79	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.42	 yY:-20.18	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.24	 yY:-21.42	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.63	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.63	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
